#{"t_start": 1627550156.4054692, "env_id": null}
r,l,t
11.291138,3,31.012733
6.035601,3,72.120902
10.179837,3,104.013837
24.659106,3,156.162345
21.315495,3,207.795388
4.494064,3,232.30006
12.103871,3,265.156074
2.303831,3,298.631732
22.068978,3,343.810863
10.233701,3,374.346205
7.12361,3,403.054429
11.149867,3,440.718346
4.783242,3,478.252022
2.493206,3,498.519228
13.509193,3,539.312694
26.474803,3,589.808817
4.100939,3,613.540352
3.045828,3,635.498772
2.028482,3,654.654158
42.735245,2,721.344983
7.721629,3,751.417114
9.64364,3,783.517352
19.13625,3,830.199029
12.743709,3,864.653063
20.55714,3,908.425003
4.251949,3,931.724638
17.765241,3,981.477792
18.600085,3,1027.538139
8.197396,3,1056.201368
39.347278,3,1117.863014
11.88914,3,1150.610465
12.391165,3,1183.727749
8.495593,3,1212.944601
7.425397,3,1243.611961
2.451757,3,1262.992749
9.937231,3,1294.680769
43.290731,2,1360.332454
4.838101,3,1382.193012
15.843468,3,1422.396499
13.459508,3,1457.197741
11.057403,3,1487.590358
48.750357,1,1556.176044
13.229237,3,1591.800593
12.146644,3,1633.356798
24.305704,3,1677.241444
21.231929,3,1720.768779
16.289226,3,1760.456114
4.325643,3,1782.946656
7.729256,3,1808.63854
6.832925,3,1851.829846
8.104596,3,1880.820464
5.819366,3,1911.114806
3.956437,3,1936.12152
13.010315,3,1973.494534
29.559801,3,2031.593451
23.468582,3,2096.740026
5.255888,3,2121.645135
41.185292,2,2188.510654
2.650938,3,2207.618883
4.946122,3,2230.858766
2.312562,3,2250.507199
11.893562,3,2295.49358
29.51044,3,2356.107097
11.744176,3,2386.889799
12.318675,3,2419.284236
39.682743,3,2487.860241
23.425518,3,2536.446467
13.256018,3,2567.324147
26.378365,3,2623.070466
36.605919,3,2692.070361
8.457192,3,2720.545246
5.201004,3,2750.18672
11.156393,3,2796.581407
25.624805,3,2844.186379
20.66993,3,2886.8899
21.084666,3,2935.824776
30.950368,3,2997.498
36.949548,3,3068.896055
20.475175,3,3112.755582
35.686647,3,3182.551227
4.911194,3,3208.510744
23.214586,3,3260.213639
23.317721,3,3314.395272
12.853741,3,3347.485365
5.041342,3,3370.947007
12.42744,3,3416.449085
17.845549,3,3466.802337
28.282791,3,3522.906839
12.303668,3,3557.07404
7.462428,3,3584.570177
9.671179,3,3613.455154
18.605518,3,3656.735125
8.939253,3,3688.094497
8.735516,3,3719.070774
17.677524,3,3757.523897
26.41773,3,3822.170062
28.366234,3,3889.994157
14.9395,3,3925.604758
6.998669,3,3954.314288
32.318538,3,4025.837044
29.696037,3,4088.18089
39.355293,2,4161.492966
7.402324,3,4187.619935
29.205399,3,4243.662351
13.778509,3,4283.85543
21.434207,3,4329.343511
36.510486,3,4413.796556
35.505172,3,4480.593886
24.625099,3,4533.271729
2.557314,3,4564.177756
35.402026,3,4629.475815
8.557471,3,4656.77444
9.266925,3,4687.036824
23.700666,3,4735.183341
3.230043,3,4755.349883
21.408025,3,4804.706908
28.979839,3,4865.165709
3.153506,3,4917.333722
38.522768,3,4986.082822
3.408719,3,5007.768437
37.643034,2,5084.357792
17.867559,3,5130.154297
11.38538,3,5176.046634
37.354696,3,5251.939032
40.160139,3,5323.88876
8.722186,3,5353.375878
10.668488,3,5387.483112
35.15081,3,5456.245933
44.413052,1,5531.365775
17.793894,3,5575.767067
14.472847,3,5618.745801
12.513205,3,5650.096209
30.96473,3,5712.007603
11.80139,3,5745.92524
24.941716,3,5803.548257
15.234713,3,5852.896908
32.619406,3,5919.815335
31.027879,3,5987.429868
19.226051,3,6035.560225
10.660864,3,6068.553273
40.722114,2,6136.714155
14.651447,3,6181.685032
34.97431,3,6260.376701
33.350878,3,6329.775244
43.95976,2,6401.714609
21.199381,3,6447.600612
5.560891,3,6470.987826
4.041367,3,6494.075056
36.496896,3,6568.541254
39.04843,3,6641.96115
23.08677,3,6686.083909
9.230927,3,6713.70662
8.245004,3,6743.046846
30.047071,3,6820.96612
26.881375,3,6881.753226
12.652561,3,6917.349098
33.103164,3,6985.583489
44.320928,2,7055.514833
18.576553,3,7100.437275
22.35498,3,7147.988786
7.69351,3,7179.342454
9.820789,3,7212.066932
9.714366,3,7243.020065
15.478056,3,7278.478525
1.64206,3,7296.097384
6.260963,3,7322.430502
12.912898,3,7362.951736
13.255375,3,7404.074865
36.879968,3,7472.667858
13.176039,3,7510.565165
12.706038,3,7544.15344
4.480658,3,7566.802308
11.702166,3,7605.150083
26.979852,3,7657.56639
24.27438,3,7709.83595
19.179953,3,7761.278916
20.045022,3,7806.026459
37.590719,3,7875.373246
17.284073,3,7917.518497
4.569377,3,7941.166496
30.564857,3,8016.421386
18.714177,3,8061.286429
30.370839,3,8119.810689
12.360334,3,8156.405525
25.539615,3,8205.351756
39.569968,2,8272.816584
45.800248,1,8345.07739
12.921854,3,8379.797721
19.788006,3,8427.749247
16.919458,3,8477.493602
9.166323,3,8511.266233
30.263913,3,8567.514469
8.504787,3,8597.092362
10.968923,3,8627.375002
25.640603,3,8682.058545
33.575124,3,8746.756463
29.986534,3,8809.30339
40.562231,2,8877.091205
29.547833,3,8940.148162
22.640089,3,8991.336278
4.730058,3,9014.567042
40.977724,2,9089.352626
26.976164,3,9149.483737
29.959646,3,9206.349473
14.150365,3,9240.885157
7.769337,3,9265.858645
4.648225,3,9290.05897
36.131326,3,9356.431235
27.950432,3,9411.703609
46.504672,2,9476.783214
37.901503,3,9547.81203
2.555747,3,9575.744824
22.596997,3,9621.680592
35.783973,3,9690.050585
13.41913,3,9728.101002
21.013476,3,9773.194237
10.848281,3,9815.559861
14.836966,3,9851.373858
30.651268,3,9906.823932
37.821723,3,9977.715561
16.654539,3,10017.409353
8.239447,3,10045.166452
14.881271,3,10081.157524
9.023694,3,10138.757612
10.733327,3,10181.896897
19.482618,3,10237.895827
11.88027,3,10272.96638
23.209347,3,10321.880628
4.49697,3,10345.096534
17.903935,3,10384.453044
2.599805,3,10424.175128
32.608362,3,10487.049613
26.502892,3,10549.374162
18.081691,3,10592.408804
11.397088,3,10625.175544
45.210441,1,10690.70716
5.340649,3,10718.357222
3.00348,3,10739.224506
10.857262,3,10771.606559
34.755497,3,10841.596194
28.506298,3,10908.169436
24.927838,3,10968.912763
6.335387,3,10992.545263
35.81535,3,11057.078176
5.287269,3,11080.000631
36.853589,3,11150.141213
7.485217,3,11178.235537
16.043218,3,11216.839757
28.20481,3,11283.48687
4.348093,3,11304.67773
7.502431,3,11335.770405
28.813495,3,11408.46668
18.120374,3,11457.591208
28.282752,3,11516.284351
21.634948,3,11560.851835
8.575424,3,11591.170288
18.621265,3,11634.45273
18.372938,3,11679.311597
18.691344,3,11720.912696
16.967885,3,11762.161727
16.466877,3,11800.236794
14.84116,3,11836.944545
16.24509,3,11877.947924
39.609631,3,11946.689701
35.892514,3,12021.315824
27.353831,3,12078.16601
7.441054,3,12106.487587
10.380429,3,12138.511144
37.197417,3,12202.035848
10.166632,3,12235.482284
21.960058,3,12281.352914
28.669136,3,12336.757277
8.24639,3,12367.159534
10.77342,3,12398.099586
7.464127,3,12435.043428
8.855829,3,12462.315165
26.721039,3,12514.500713
26.358932,3,12579.208139
26.80355,3,12636.482301
28.106502,3,12695.878409
26.086388,3,12751.012929
42.857714,1,12818.487552
41.085014,2,12880.687786
33.262909,3,12941.490793
48.450967,1,13010.089479
18.138281,3,13051.711759
