#{"t_start": 1627555575.9669209, "env_id": null}
r,l,t
0.291522,3,13.966579
0.20534,3,26.208334
6.006405,3,54.090572
3.659254,3,78.295343
5.663846,3,115.166398
20.50082,3,159.758221
0.271704,3,171.610844
0.293958,3,182.69375
15.097378,3,219.064808
0.527196,3,231.16827
0.457042,3,244.787877
0.185095,3,266.118709
5.167844,3,298.086147
5.828387,3,324.958444
7.448981,3,349.738312
2.916601,3,369.820396
0.515272,3,383.474662
6.969787,3,408.220206
25.671854,3,463.088642
29.602502,3,524.203697
9.084484,3,556.870133
0.257547,3,569.228631
0.826375,3,583.492795
5.082277,3,606.271215
3.725508,3,625.245063
6.352173,3,651.450368
1.809723,3,670.640248
5.248218,3,703.582941
0.106035,3,715.766158
0.225004,3,728.224405
8.452208,3,758.512457
9.697669,3,788.810892
7.098282,3,813.723898
6.217423,3,838.977342
7.462713,3,865.176973
28.44911,3,922.424225
0.346263,3,934.265971
18.074359,3,979.67648
4.565738,3,1006.244815
1.739662,3,1023.62256
0.26915,3,1035.804724
0.126449,3,1057.357479
3.048287,3,1081.749862
10.013089,3,1115.421395
8.946144,3,1153.705708
9.999342,3,1186.063397
8.333055,3,1227.652154
0.340623,3,1240.74206
7.303184,3,1267.815805
0.296434,3,1280.213168
9.667278,3,1311.414288
32.887147,3,1379.559253
18.091786,3,1418.682562
0.114498,3,1429.942738
5.590785,3,1451.163002
12.905958,3,1487.299594
1.908796,3,1504.968016
8.783795,3,1536.301211
0.168503,3,1548.208346
5.671373,3,1570.808638
10.530754,3,1605.087441
0.491555,3,1618.00238
4.830957,3,1642.746581
10.217832,3,1696.344983
8.56174,3,1727.562381
6.963219,3,1757.593112
0.436746,3,1769.617074
0.253185,3,1780.847238
0.249401,3,1800.794693
5.619839,3,1823.055491
15.043033,3,1861.897387
17.168107,3,1917.224737
5.416232,3,1951.221586
0.89618,3,1966.639594
7.211887,3,1991.213488
7.011435,3,2027.095203
9.528706,3,2059.280114
0.448833,3,2073.10095
0.068011,3,2083.337138
0.163719,3,2093.711347
0.075387,3,2103.55925
0.170981,3,2115.500042
1.750884,3,2158.406028
7.069661,3,2183.691109
5.372948,3,2209.007016
15.466818,3,2261.286008
4.392627,3,2295.715666
7.626068,3,2331.422384
42.1251,3,2409.765325
7.933181,3,2457.463122
10.281704,3,2493.536061
0.52275,3,2537.374231
19.492272,3,2589.945787
6.691385,3,2617.43913
8.140081,3,2651.505205
11.206667,3,2684.418513
34.630384,3,2754.687009
5.030502,3,2794.219049
2.258779,3,2821.292343
15.337529,3,2878.852037
35.736111,3,2942.485868
0.280614,3,2954.799101
13.943135,3,3015.952125
7.567311,3,3040.814877
38.303469,3,3128.250267
39.704617,3,3205.514076
