#{"t_start": 1627392493.40241, "env_id": null}
r,l,t
1.040287,3,11.205345
1.499506,3,20.204294
2.180014,3,31.494467
9.979028,3,54.139419
11.94517,3,81.595606
1.397758,3,94.609149
3.514045,3,105.591283
1.357499,3,116.234771
10.566538,3,137.402731
0.873396,3,145.372704
6.748344,3,160.848644
1.656838,3,170.412944
2.312851,3,185.572505
1.881363,3,196.705512
2.327662,3,207.862382
15.970388,3,241.796379
20.559297,3,281.717778
8.225027,3,308.34741
0.72831,3,315.748155
10.13829,3,337.01007
36.197183,3,391.331243
6.161614,3,407.81999
3.35069,3,418.650722
3.893591,3,430.346051
7.752089,3,446.878034
13.906706,3,471.687988
2.167189,3,492.473487
2.151946,3,503.724944
6.866378,3,524.461528
15.141577,3,550.744737
8.962118,3,571.981128
6.245652,3,585.670227
0.634441,3,594.636519
1.599309,3,613.620831
5.139965,3,629.04376
5.849228,3,647.480744
3.737753,3,668.855836
7.145452,3,690.183028
3.83283,3,702.10715
1.756325,3,712.832375
7.272046,3,730.490625
2.291915,3,741.142547
2.240724,3,751.883429
11.621622,3,774.660018
7.145638,3,790.370823
14.920903,3,817.429472
1.503172,3,828.111434
3.693162,3,840.586603
8.083126,3,861.734881
71.788132,3,958.986809
4.132846,3,972.752507
7.165215,3,991.315575
6.689626,3,1007.602561
10.144952,3,1028.922745
11.356329,3,1054.298995
4.113306,3,1066.391536
15.84985,3,1094.490096
9.324712,3,1114.667252
21.526171,3,1151.24836
48.69743,3,1220.63561
3.234006,3,1231.074801
1.918985,3,1243.941945
4.998842,3,1257.701844
2.174864,3,1268.645366
21.103007,3,1312.577399
7.054954,3,1329.825835
6.112157,3,1348.267011
6.293269,3,1363.717057
2.482321,3,1382.540498
3.00295,3,1399.923484
8.089692,3,1416.937044
4.583978,3,1430.578663
21.396157,3,1462.941294
18.720896,3,1497.311878
7.59106,3,1513.047818
14.500902,3,1535.834361
6.479104,3,1552.63152
7.73378,3,1580.625187
7.37146,3,1596.981185
10.084494,3,1620.375796
6.358655,3,1635.576277
12.211147,3,1657.06993
12.618531,3,1678.112644
2.526364,3,1688.469578
16.801064,3,1718.985389
6.918202,3,1736.630638
45.722966,3,1814.914169
7.422324,3,1833.886493
