#{"t_start": 1627473514.7806098, "env_id": null}
r,l,t
9.768967,3,43.001858
11.797677,3,77.751447
15.156784,3,113.037694
1.083316,3,135.273581
15.896726,3,167.29055
35.368939,3,228.875041
29.718475,3,287.539456
10.587063,3,321.115383
5.736404,3,342.492477
1.524917,3,356.78693
21.123549,3,401.055413
35.842665,3,464.307151
24.294384,3,508.045913
11.985499,3,536.820864
32.079565,3,603.50868
1.53628,3,619.131699
3.357287,3,636.960852
20.32945,3,675.199303
13.936504,3,709.909711
45.624106,1,777.287297
12.688787,3,829.533566
18.95954,3,869.905529
3.677397,3,888.76963
14.755808,3,923.820021
8.226508,3,952.452658
3.447385,3,971.70499
9.421755,3,999.705749
30.032165,3,1053.765156
3.766566,3,1070.064943
20.350165,3,1113.894489
4.480094,3,1139.534685
17.103472,3,1180.536828
11.47783,3,1208.402573
27.259977,3,1264.105189
20.842753,3,1312.436264
6.101443,3,1336.427448
10.246008,3,1369.13449
14.982777,3,1415.870739
5.078479,3,1436.65316
26.670962,3,1511.910276
44.731294,1,1581.415599
23.111312,3,1634.981807
42.734834,2,1702.671911
40.25227,2,1771.186149
10.767306,3,1799.781241
15.066341,3,1833.118246
2.407847,3,1847.977045
20.586033,3,1885.719493
8.052909,3,1915.381402
13.233631,3,1947.879845
22.064033,3,1989.589197
11.512636,3,2023.189698
1.505673,3,2036.189089
17.291836,3,2083.595303
18.502979,3,2125.05943
12.520358,3,2160.238046
43.988534,1,2228.089046
44.935841,2,2301.141836
8.854122,3,2326.137656
26.598872,3,2378.41968
30.784872,3,2432.814644
1.68257,3,2456.993806
14.176978,3,2490.844023
17.521473,3,2533.317465
15.189829,3,2566.710936
5.794327,3,2588.752642
45.951207,1,2657.440912
33.96537,3,2716.560163
20.955696,3,2756.250496
9.959504,3,2784.730402
23.818966,3,2843.518042
21.114932,3,2886.128938
26.086717,3,2938.541734
47.216778,1,3007.111354
42.661298,2,3075.372859
4.388828,3,3093.851711
25.441774,3,3139.946093
41.004403,3,3211.930761
4.968394,3,3233.473061
13.503258,3,3267.821823
38.247512,3,3334.588104
47.976136,2,3403.13666
38.653505,3,3471.582677
2.112435,3,3486.950057
10.565281,3,3514.01628
6.790622,3,3536.854889
43.079092,1,3603.524684
37.704777,3,3672.672755
8.195624,3,3696.917773
33.212146,3,3757.518646
34.919694,3,3828.015564
40.535335,2,3892.71551
15.66096,3,3924.19991
44.675484,1,3988.365547
7.115558,3,4012.336541
43.657177,2,4078.622941
46.509628,1,4146.272178
28.347233,3,4194.832287
35.586681,3,4254.076772
2.022008,3,4268.843312
36.226527,3,4331.166625
47.56055,1,4398.671385
19.888786,3,4437.723776
40.600382,2,4503.363162
14.020322,3,4540.499773
44.023178,2,4606.137192
19.928325,3,4642.302409
9.171695,3,4677.772746
23.092838,3,4725.656046
47.306959,1,4791.989341
16.976073,3,4826.484447
46.322325,1,4890.560898
20.495146,3,4929.179487
44.552195,2,4994.451139
10.561818,3,5023.693398
39.234015,3,5088.162823
46.457452,1,5154.09005
26.70044,3,5204.270834
15.805873,3,5236.642082
1.5114,3,5252.671652
20.314624,3,5289.074726
19.214429,3,5325.220696
42.933208,2,5386.646061
20.513881,3,5425.072876
31.036014,3,5491.506436
14.286467,3,5521.813772
13.803033,3,5563.547742
22.668704,3,5604.328498
21.634017,3,5648.10588
43.262528,1,5713.012459
41.623867,2,5779.78781
8.241162,3,5805.433163
30.848388,3,5858.851205
20.585731,3,5902.670429
24.424525,3,5945.943976
44.725229,1,6012.086214
12.625132,3,6040.540376
1.275182,3,6052.858755
19.146795,3,6096.048763
1.903937,3,6110.658046
39.553248,3,6171.634319
21.965505,3,6212.792873
14.439573,3,6245.932898
39.90105,3,6312.528304
39.608417,3,6379.541404
17.210711,3,6425.424374
47.21212,2,6490.918369
39.622017,3,6555.074199
23.484187,3,6603.106666
45.84824,2,6667.536472
43.240368,2,6731.728295
41.252415,2,6797.611572
0.982666,3,6811.208921
18.132595,3,6849.541362
27.246355,3,6906.640056
45.457593,1,6969.521513
42.485061,2,7034.921127
47.172415,1,7101.896476
28.7787,3,7151.791717
1.684557,3,7167.125169
34.29602,3,7222.180271
13.6698,3,7252.731267
17.155943,3,7306.212097
42.376901,2,7371.40554
23.952795,3,7413.305974
46.723243,1,7480.622763
14.556782,3,7521.746051
23.60189,3,7570.494604
43.007521,3,7635.590077
42.36891,3,7699.948906
44.983919,2,7767.210301
9.324153,3,7788.269113
42.997662,3,7852.155636
43.437961,3,7917.481066
28.534514,3,7976.441084
40.181178,3,8039.89299
21.359659,3,8079.614791
23.639908,3,8126.033572
42.412868,3,8192.29142
27.644235,3,8240.175323
43.585823,2,8307.161202
26.414652,3,8356.303752
28.398777,3,8410.867018
4.15097,3,8428.425375
24.856582,3,8472.159567
42.521161,3,8540.004694
43.270681,2,8607.207315
38.302776,3,8673.828937
6.499577,3,8695.229377
40.666842,3,8763.67874
29.227437,3,8816.976781
24.07842,3,8866.231061
40.053363,3,8933.23432
50.680181,1,8995.790628
14.465324,3,9032.730307
46.914333,1,9097.161306
0.765191,3,9110.556695
7.736605,3,9132.36681
34.990376,3,9190.133943
13.781751,3,9222.181145
1.561626,3,9242.160316
28.476336,3,9291.855779
17.692646,3,9327.927121
43.450213,2,9393.504997
43.257563,2,9458.73045
16.718008,3,9490.862241
45.526398,3,9557.441408
42.240251,3,9619.750116
19.317323,3,9658.339605
29.338977,3,9714.435437
39.58133,3,9773.104922
38.70481,3,9835.15849
26.154386,3,9885.997649
42.72006,2,9953.110862
43.307146,1,10020.457755
8.855353,3,10050.024296
34.568797,3,10111.150754
40.010758,3,10176.805147
41.265668,3,10243.936068
41.899824,3,10310.9434
51.264084,1,10375.421333
42.294417,3,10442.87102
31.748312,3,10497.305909
19.435793,3,10534.602381
36.998756,3,10600.424676
47.551847,2,10665.555763
39.301728,3,10725.11027
38.610394,3,10790.994279
25.675505,3,10835.127135
25.865198,3,10891.315795
43.954589,2,10959.199912
48.077463,1,11025.874614
38.681663,3,11094.624868
45.013688,1,11158.842398
40.316236,3,11222.774153
45.062853,1,11288.509828
4.932277,3,11311.713837
40.757585,3,11378.769106
46.479296,1,11446.085937
2.460127,3,11461.607206
12.08607,3,11493.309589
10.429918,3,11525.622211
4.372602,3,11544.45688
18.392995,3,11581.891037
13.643106,3,11616.862627
46.246281,2,11685.539047
13.035092,3,11717.054556
11.561065,3,11744.15473
40.711345,2,11810.681069
8.174642,3,11868.690685
18.641216,3,11907.148743
37.733876,3,11968.078824
44.385565,1,12035.07572
6.462149,3,12054.579699
38.976062,3,12127.704287
11.646091,3,12154.761597
19.622848,3,12195.630666
28.656761,3,12258.852423
22.863107,3,12312.927689
24.591017,3,12355.598431
8.19281,3,12381.564159
40.980876,2,12447.645959
8.819822,3,12471.198827
13.034725,3,12501.378143
47.237774,1,12564.886198
28.419827,3,12621.514098
11.730554,3,12647.451262
47.260033,1,12712.840873
25.132332,3,12764.000479
19.047535,3,12803.477491
17.700536,3,12837.312838
49.273667,1,12902.378865
46.166573,2,12968.706473
41.906515,3,13035.154506
6.672145,3,13067.262816
22.567169,3,13109.955098
40.848519,2,13178.137541
42.040245,3,13242.006134
6.173411,3,13263.390057
46.348805,2,13327.982414
33.61122,3,13383.268713
26.37374,3,13441.415916
44.346635,2,13504.973597
46.275622,2,13568.820771
46.791923,2,13632.008106
47.640388,1,13698.250395
43.140283,1,13763.226848
42.727855,3,13835.293357
15.025665,3,13869.221715
6.399982,3,13892.425593
38.897636,3,13952.206236
44.546132,1,14017.336829
43.966555,2,14081.152079
40.418832,2,14144.457432
47.665584,1,14210.088191
28.253141,3,14264.372813
42.586004,3,14330.303276
45.52467,1,14395.492449
43.40428,2,14463.537231
48.220389,1,14527.734435
47.482675,2,14591.8385
43.034245,2,14655.97125
43.947088,3,14723.752671
34.038272,3,14787.349591
43.81757,1,14851.920584
9.644461,3,14881.188179
18.746256,3,14918.659652
44.002678,2,14985.865647
34.071785,3,15048.038404
26.703814,3,15096.512675
14.1809,3,15131.151254
45.029776,2,15198.407622
35.351594,3,15262.573863
46.127672,2,15328.809647
45.925266,2,15394.375612
39.519088,3,15461.304741
8.552024,3,15487.865132
40.989431,3,15555.136406
42.817501,2,15621.126806
30.128958,3,15669.396723
46.026305,2,15735.10725
47.00478,2,15799.341257
21.856039,3,15845.918308
38.414512,3,15909.946437
45.702203,1,15974.704677
27.162709,3,16024.867539
44.685713,2,16088.468461
46.354844,2,16152.884248
41.267131,3,16219.997958
42.559899,2,16285.716203
49.483267,1,16349.654766
44.613854,2,16415.650633
41.038566,3,16481.478969
43.821372,1,16545.797219
1.96378,3,16559.457546
24.177094,3,16602.262302
16.993678,3,16635.034951
43.18863,2,16699.836242
39.504659,3,16767.741636
14.981134,3,16804.27261
3.638529,3,16825.812378
43.099576,2,16890.017863
47.441371,1,16955.102792
44.990673,2,17020.430434
35.375839,3,17086.240174
49.458204,1,17149.81408
37.470792,3,17212.186817
12.631009,3,17252.636365
2.36995,3,17281.878448
30.591867,3,17338.317753
32.746872,3,17398.853191
40.630877,3,17464.208157
45.905414,2,17527.365198
18.525937,3,17563.157227
32.078008,3,17622.702497
49.014176,1,17687.946964
24.986406,3,17731.805406
37.099033,3,17794.846795
49.764774,1,17859.665125
32.360746,3,17919.307842
41.398741,2,17986.052245
15.65225,3,18020.089067
47.261749,1,18084.286232
29.389776,3,18137.221735
44.152745,3,18204.954769
35.443011,3,18265.782266
40.055417,3,18332.911851
24.53433,3,18387.983188
29.669661,3,18453.590399
49.535197,1,18520.322687
37.677591,3,18586.765579
47.033637,2,18655.911071
27.417238,3,18719.936359
41.468123,3,18785.745755
1.975355,3,18807.232978
23.5791,3,18851.351374
46.461791,1,18917.378534
14.807038,3,18951.509982
45.319883,2,19017.607423
45.388937,1,19083.502844
2.245388,3,19099.377096
47.038626,2,19166.874074
40.996182,3,19233.973352
45.24421,2,19297.548614
47.78832,1,19363.007201
28.601016,3,19410.652716
8.994425,3,19438.920595
45.359523,1,19505.351331
36.273433,3,19567.86286
43.964692,2,19631.80118
40.3336,3,19699.743451
47.547972,1,19767.739986
49.629214,1,19832.778722
43.360218,2,19898.288282
32.948244,3,19951.698593
47.431566,2,20016.455172
23.873611,3,20063.820358
36.035059,3,20122.775254
35.043523,3,20183.503298
17.965366,3,20221.587516
47.554738,1,20286.849872
45.731215,2,20351.696018
41.264058,2,20419.165346
34.736897,3,20477.809173
24.239429,3,20525.951135
26.0144,3,20570.664225
23.32735,3,20615.864835
49.295921,1,20680.386628
43.850498,2,20744.038361
20.883597,3,20789.482719
47.787537,1,20853.988247
45.584618,2,20920.069846
42.809708,2,20986.157331
51.348086,1,21052.2233
40.080276,2,21120.729998
44.285095,2,21186.656158
49.881004,1,21250.961903
21.077785,3,21291.331589
43.938967,3,21359.555037
45.43817,2,21424.435839
42.876802,3,21488.91311
38.733653,3,21560.294647
37.637654,3,21621.253788
42.549534,3,21693.422182
46.186309,1,21759.21898
44.647131,1,21826.934311
27.932728,3,21875.672967
13.951845,3,21906.811169
26.005293,3,21957.995399
36.151045,3,22017.295036
46.412912,1,22082.624164
9.7281,3,22111.066655
47.670527,1,22175.776983
50.847894,1,22240.483709
23.060615,3,22309.803962
27.693124,3,22375.898586
38.167777,3,22444.139528
33.47894,3,22499.352865
42.474432,2,22567.100235
39.595009,3,22632.970097
43.445836,2,22698.836812
46.267852,1,22766.608658
38.878816,3,22830.8179
47.420371,2,22899.217235
15.237452,3,22933.872772
49.893664,1,22999.536886
37.465026,3,23073.092938
46.838503,1,23138.178572
9.344978,3,23165.746119
42.655659,2,23230.291358
8.622781,3,23259.340219
46.957992,1,23325.636298
13.555349,3,23366.062759
44.512488,2,23435.423593
42.806148,3,23510.292365
37.303168,3,23569.259809
3.215137,3,23585.169641
32.256146,3,23639.604882
48.514472,1,23707.768101
16.34871,3,23746.982326
45.334699,1,23813.150061
46.092601,2,23878.383586
20.504839,3,23932.150077
33.68038,3,23997.531672
46.502367,1,24065.274928
43.757503,2,24131.657225
21.81261,3,24170.474513
48.619375,1,24233.796284
38.681272,3,24300.721266
46.151838,1,24365.61615
45.266074,1,24428.111843
41.1191,3,24501.874913
10.299822,3,24529.572767
13.409228,3,24563.054279
41.543651,3,24629.548758
43.948348,2,24695.55664
40.760632,3,24767.289112
18.003912,3,24806.750445
42.300393,3,24871.488099
10.937647,3,24910.318455
43.329114,2,24977.211579
22.13009,3,25025.228098
43.680614,3,25092.860339
40.478176,3,25159.777418
48.518747,1,25226.670618
46.933171,2,25291.656747
5.939141,3,25312.810765
47.696372,1,25379.944219
33.794568,3,25447.098489
33.019238,3,25509.003299
11.50088,3,25540.562027
43.104177,2,25607.44087
47.810982,1,25674.193757
38.197113,3,25756.705245
47.533756,2,25821.441094
48.701364,1,25887.919905
11.481037,3,25935.698447
42.376479,2,26002.100191
23.604807,3,26049.765546
7.791495,3,26074.60873
41.379868,3,26141.8085
7.336351,3,26162.550113
5.623394,3,26187.008885
23.772046,3,26232.249078
47.817414,1,26300.049721
46.000742,1,26364.507514
45.970386,1,26430.90907
46.375808,1,26495.848877
19.448715,3,26532.180155
45.029604,1,26597.49758
43.002949,2,26663.643577
41.206021,3,26726.387464
43.532996,2,26791.931282
46.763454,1,26854.987761
39.342963,2,26922.121207
38.359184,2,26988.470295
44.614632,2,27054.683877
50.83505,1,27121.975174
46.263832,2,27190.895277
34.722678,3,27250.552213
38.208252,3,27320.609192
46.668871,1,27386.734371
43.418549,1,27451.771999
10.188093,3,27493.053114
23.323884,3,27549.22573
46.614117,2,27614.954941
48.2986,1,27682.241509
11.300518,3,27710.567412
48.901855,1,27773.384329
1.819851,3,27788.879011
37.674097,3,27853.967191
45.412285,2,27916.481372
45.653606,2,27981.09706
20.061912,3,28023.427149
40.712747,3,28087.528735
29.169412,3,28138.532847
44.384055,1,28205.12352
26.669322,3,28256.003048
34.520083,2,28324.378675
41.686838,2,28394.500644
43.520192,2,28460.422999
42.261369,2,28525.879608
38.672714,3,28592.874503
35.014528,3,28651.888979
29.136114,3,28707.053456
9.580274,3,28739.232929
21.083933,3,28777.842338
45.803822,1,28842.756165
14.609643,3,28877.816571
24.828124,3,28921.655922
42.100425,3,28988.729456
47.792199,1,29055.678661
44.059447,2,29123.020439
