#{"t_start": 1627473512.107277, "env_id": null}
r,l,t
4.055465,3,23.20097
5.787281,3,43.305317
1.30971,3,68.11848
0.225752,3,86.857643
6.227593,3,112.120912
2.241593,3,126.128828
0.259409,3,135.031577
3.828481,3,152.033113
9.012948,3,177.924019
4.482827,3,199.831557
2.231929,3,218.986746
1.247477,3,244.064337
3.207912,3,260.122891
3.253784,3,280.116598
2.95831,3,294.850647
5.457519,3,314.94075
2.340878,3,330.386109
9.504823,3,362.183808
16.594965,3,400.93798
0.172944,3,410.236347
11.057242,3,439.264911
0.087141,3,446.74638
2.559837,3,460.995809
0.205746,3,469.605497
2.101918,3,483.524004
0.103906,3,491.436214
7.227445,3,513.524951
3.346547,3,529.90221
1.927728,3,546.381588
39.673198,3,621.907616
6.687053,3,646.154995
12.648538,3,679.167156
6.484706,3,702.32219
3.772008,3,721.966685
7.890999,3,755.741472
4.068076,3,776.724964
0.867553,3,790.208635
19.13764,3,827.435894
0.438678,3,836.652306
3.556191,3,853.410902
15.386465,3,887.211156
31.542777,3,978.993241
6.861641,3,1002.514235
0.31935,3,1011.638317
3.337719,3,1029.049091
27.178623,3,1087.776284
8.863688,3,1115.15429
2.20208,3,1133.746767
8.60655,3,1180.080022
14.745597,3,1224.056827
12.525226,3,1252.5345
2.509181,3,1267.592305
4.214481,3,1288.75989
6.032904,3,1319.428303
8.060099,3,1352.462015
7.338455,3,1380.784261
5.158533,3,1411.991706
10.638032,3,1460.199314
16.746697,3,1506.265265
5.246993,3,1540.679737
10.397798,3,1579.794988
9.845208,3,1611.713621
2.495044,3,1627.000476
2.430258,3,1644.010157
8.226814,3,1674.872898
12.116243,3,1712.540689
15.273402,3,1747.827044
4.047136,3,1768.725877
14.347235,3,1807.110737
3.620247,3,1825.531153
8.264326,3,1851.755564
6.188666,3,1871.569749
8.568291,3,1895.38459
8.420101,3,1929.281475
11.120842,3,1965.332006
20.264409,3,2009.293159
4.657963,3,2028.526855
7.516012,3,2050.31753
1.906438,3,2066.002576
46.50035,1,2142.552545
0.515445,3,2153.356407
2.207478,3,2176.052203
5.441198,3,2197.68924
12.189054,3,2227.081019
8.515485,3,2255.704178
2.790621,3,2277.417112
11.650885,3,2325.765841
15.155358,3,2364.24987
0.119741,3,2373.195899
18.074488,3,2417.845062
10.16181,3,2446.541106
0.226417,3,2454.89356
35.083516,3,2522.118485
17.031909,3,2562.931454
16.226584,3,2600.624089
3.382358,3,2617.713011
10.069916,3,2649.212069
47.621553,1,2720.75604
24.753108,3,2778.442236
1.540913,3,2793.666629
25.65708,3,2862.557391
2.31278,3,2884.19938
11.766916,3,2922.855157
39.170181,3,2994.918436
3.881618,3,3011.784081
41.134987,2,3080.940407
0.213519,3,3096.036341
27.398622,3,3152.249546
4.146562,3,3172.18141
5.916261,3,3194.783825
4.424201,3,3214.267079
1.887335,3,3230.36943
34.383173,3,3304.100299
14.253209,3,3344.331587
4.436136,3,3363.529068
3.400466,3,3379.931326
3.635095,3,3395.712986
13.3379,3,3434.016698
3.722135,3,3450.657906
0.221394,3,3460.598053
1.374711,3,3476.142462
0.066316,3,3484.433676
15.713008,3,3539.048749
5.355056,3,3561.242986
0.176759,3,3569.382155
1.8935,3,3584.208963
0.26963,3,3593.595232
11.014969,3,3625.965979
0.180136,3,3636.786135
2.07938,3,3663.269301
4.489562,3,3686.048351
1.650506,3,3706.428955
1.744877,3,3720.389152
22.054922,3,3761.895828
0.107485,3,3769.387224
3.812474,3,3787.825518
0.098051,3,3796.892547
5.046274,3,3822.537633
0.387385,3,3831.859912
0.225457,3,3840.742687
14.064647,3,3881.937535
0.150748,3,3890.594375
26.472921,3,3936.623101
10.041842,3,3963.445727
32.186038,3,4023.111428
1.817954,3,4036.427202
1.691238,3,4052.03778
24.602922,3,4099.123351
17.921439,3,4145.549022
0.132655,3,4154.067119
19.449975,3,4195.820626
4.010442,3,4218.738878
11.554277,3,4254.358875
8.403361,3,4273.415265
5.309635,3,4294.503827
9.592633,3,4327.53896
2.789592,3,4349.901094
44.339963,2,4431.761582
2.522281,3,4448.253388
1.600064,3,4478.797869
16.090215,3,4515.494113
0.338177,3,4525.748072
14.056925,3,4558.431301
8.311961,3,4584.771442
0.147317,3,4591.945733
40.834506,2,4658.290629
44.7655,2,4729.161198
9.352168,3,4755.393403
28.13899,3,4805.347773
23.653974,3,4855.319109
7.307469,3,4880.276758
2.137673,3,4893.072936
8.753782,3,4919.267175
0.310375,3,4928.021376
7.290392,3,4949.579565
0.599633,3,4959.05186
3.38971,3,4989.197611
0.256424,3,5002.90702
32.144888,3,5067.582099
4.00163,3,5085.108635
3.951045,3,5102.471956
0.207068,3,5111.848385
32.92711,3,5176.005491
46.161234,2,5261.050731
3.264042,3,5280.311791
2.643111,3,5296.745949
0.008486,3,5304.653209
0.779955,3,5334.43315
6.753965,3,5367.303693
17.814751,3,5416.178771
3.183432,3,5443.339367
8.108489,3,5476.943895
0.19716,3,5486.672328
0.113345,3,5493.750816
0.098459,3,5500.865255
2.967511,3,5536.568656
0.700473,3,5546.554706
2.957682,3,5560.771176
0.248713,3,5569.709471
0.189233,3,5578.295313
1.735124,3,5594.091289
0.13286,3,5602.670301
2.892575,3,5617.214549
14.382435,3,5651.917801
13.007413,3,5682.254765
4.479335,3,5700.182066
1.742031,3,5715.483525
2.461266,3,5729.892827
15.167656,3,5761.770169
2.794145,3,5774.736592
18.709591,3,5819.50238
4.339559,3,5834.979923
42.376712,3,5902.377535
0.802549,3,5915.022418
11.49231,3,5964.185705
13.78783,3,5997.668654
3.427921,3,6017.523922
19.472312,3,6061.324711
17.43997,3,6100.172408
34.286723,2,6169.807737
3.409231,3,6197.221789
42.635856,3,6270.059053
1.619327,3,6286.28018
4.091588,3,6309.669119
37.406389,2,6381.771671
34.295071,3,6442.332072
6.448646,3,6463.126069
4.503275,3,6482.731462
18.09988,3,6524.698548
7.254641,3,6548.501718
17.042266,3,6587.75128
31.466721,3,6654.499101
8.155786,3,6685.08589
3.991553,3,6701.697208
6.342444,3,6721.211975
6.188506,3,6741.791733
14.752308,3,6780.93846
9.198172,3,6810.1984
33.300699,3,6871.166639
40.696426,2,6942.359076
32.416073,3,6996.485302
1.752929,3,7011.216274
2.566116,3,7031.112627
15.486998,3,7066.592885
6.691075,3,7093.091925
40.736884,3,7165.353998
32.40701,3,7227.052936
17.86319,3,7273.881696
3.000089,3,7292.094698
0.168461,3,7300.713644
10.814283,3,7335.431853
6.336984,3,7356.207118
1.997164,3,7370.754192
0.156218,3,7379.540925
42.902544,3,7449.483794
10.776372,3,7495.009056
5.254237,3,7516.619074
9.740276,3,7547.616838
16.350323,3,7586.181217
47.676071,1,7651.766559
22.545328,3,7694.573957
2.812274,3,7711.549013
11.530922,3,7741.294561
4.282725,3,7761.59253
6.320375,3,7782.806413
2.496193,3,7799.663309
27.518309,3,7859.093075
12.646184,3,7888.512632
0.652802,3,7899.181997
0.203608,3,7908.006613
4.379544,3,7927.567668
2.099249,3,7942.789378
2.611775,3,7957.762022
0.147336,3,7965.759639
0.154411,3,7973.549622
0.293711,3,7982.653438
13.641333,3,8013.425379
19.511193,3,8057.2494
22.418732,3,8114.053285
24.538668,3,8173.354879
21.313287,3,8213.007713
19.736291,3,8263.373435
3.78906,3,8287.825697
5.919533,3,8309.941829
2.290413,3,8325.171567
5.634714,3,8347.512878
0.322134,3,8356.755957
12.201362,3,8387.065192
2.112164,3,8406.77368
9.393986,3,8442.637109
31.693695,3,8504.425887
12.794823,3,8537.023048
6.819946,3,8578.052442
5.191286,3,8598.113464
22.174922,3,8648.040568
0.184207,3,8657.209814
2.532356,3,8673.463448
20.247912,3,8717.735116
0.061994,3,8725.015647
2.75553,3,8740.228812
31.75312,3,8800.58817
13.247613,3,8833.486384
17.664712,3,8871.858699
6.274371,3,8893.610158
0.076555,3,8901.847614
45.996991,3,8976.83471
0.115587,3,8985.230851
0.219055,3,8994.3795
7.975626,3,9022.423099
22.274687,3,9065.820595
3.557373,3,9081.570573
14.137346,3,9109.610147
6.045522,3,9133.514903
16.967796,3,9181.139403
9.715172,3,9210.902039
